variant,caseId,query,group,labelSource,relevantSetSize,recallAt10,precisionAt5,mrr,ndcgAt10,relevantFound,clarified,groupCoverage,rewriteStatus,rewriteLatencyMs,failureNotes
dense_vector_only,keyword-iphone,iPhone,keyword,expected_product_ids,3,0,0,0,0,false,false,0,,,"No relevant product matched expected categories: phone, dien-thoai"
dense_vector_only,keyword-macbook,MacBook,keyword,expected_product_ids,3,0,0,0,0,false,false,0,,,No relevant product matched expected categories: laptop
dense_vector_only,keyword-rtx-laptop,RTX laptop,keyword,expected_product_ids,3,0,0,0,0,false,false,0,,,No relevant product matched expected categories: laptop
dense_vector_only,keyword-dell-monitor,màn hình Dell,keyword,expected_product_ids,3,0,0,0,0,false,false,0,,,"No relevant product matched expected categories: monitor, man-hinh"
dense_vector_only,need-ai-laptop,laptop học AI,need_based,manual_binary_qrels,3,0.3333,0.2,0.25,0.2021,true,false,0,,,
dense_vector_only,need-graphics,máy làm đồ họa,need_based,manual_binary_qrels,3,0,0,0,0,false,false,0,,,"No relevant product matched expected categories: laptop, desktop, pc"
dense_vector_only,need-home-office,setup góc làm việc tại nhà,need_based,manual_binary_qrels,3,0,0,0,0,false,false,0,,,"No relevant product matched expected categories: monitor, man-hinh, keyboard, mouse, webcam"
dense_vector_only,need-eye-comfort,màn hình đỡ mỏi mắt,need_based,manual_binary_qrels,3,1,0.4,0.3333,0.5642,true,false,0,,,
dense_vector_only,gift-gamer-boyfriend,mua quà cho bạn trai thích chơi game,gift,manual_binary_qrels,3,0.3333,0,0.125,0.148,true,false,0,,,
dense_vector_only,gift-it-student,quà cho sinh viên IT,gift,manual_binary_qrels,3,1,0.4,0.5,0.6189,true,false,0,,,
dense_vector_only,gift-office-worker,quà cho dân văn phòng,gift,manual_binary_qrels,3,0,0,0,0,false,false,0,,,"No relevant product matched expected categories: keyboard, mouse, monitor, man-hinh, phu-kien"
dense_vector_only,gift-new-streamer,quà cho người mới livestream,gift,manual_binary_qrels,3,0,0,0,0,false,false,0,,,"No relevant product matched expected categories: webcam, microphone, micro, lighting, den-led, headset, phu-kien"
dense_vector_only,technical-ai-laptop-specs,laptop RAM 16GB SSD 512GB GPU NVIDIA,technical,expected_product_ids,3,0,0,0,0,false,false,0,,,No relevant product matched expected categories: laptop
dense_vector_only,technical-monitor-144hz,màn hình 144Hz,technical,expected_product_ids,3,0,0,0,0,false,false,0,,,"No relevant product matched expected categories: monitor, man-hinh"
dense_vector_only,technical-wireless-keyboard,bàn phím cơ wireless,technical,expected_product_ids,3,0.6667,0,0.125,0.2837,true,false,0,,,
dense_vector_only,technical-stock-budget-laptop,laptop dưới 25 triệu còn hàng,technical,expected_product_ids,3,0,0,0,0,false,false,0,,,No relevant product matched expected categories: laptop
dense_vector_only,combo-livestream,góc livestream,combo,manual_binary_qrels,3,0,0,0,0,false,false,0,,,"No relevant product matched expected categories: webcam, microphone, micro, lighting, den-led, monitor, man-hinh, phu-kien"
dense_vector_only,combo-home-work-kit,bộ làm việc tại nhà,combo,manual_binary_qrels,3,0,0,0,0,false,false,0,,,"No relevant product matched expected categories: monitor, man-hinh, keyboard, mouse, webcam, phu-kien"
dense_vector_only,combo-teacher-home-office,combo dạy học online tại nhà,combo,manual_binary_qrels,3,0,0,0,0,false,false,0,,,"No relevant product matched expected categories: laptop, monitor, man-hinh, webcam, microphone, micro, keyboard, mouse"
dense_vector_only,combo-online-learning,setup học online cho sinh viên,combo,manual_binary_qrels,3,0.3333,0,0.1667,0.1672,true,false,0,,,
dense_vector_only,ambiguous-strong-value,máy mạnh giá tốt,ambiguous,expected_clarification,0,0,0,0,0,false,false,0,,,Expected clarification was not produced
dense_vector_only,ambiguous-study-machine,máy để học,ambiguous,expected_clarification,0,0,0,0,0,false,false,0,,,Expected clarification was not produced
dense_vector_only,ambiguous-good-laptop,laptop tốt,ambiguous,expected_clarification,0,0,0,0,0,false,false,0,,,Expected clarification was not produced
dense_vector_only,ambiguous-essential-accessories,phụ kiện cần thiết,ambiguous,expected_clarification,0,0,0,0,0,false,false,0,,,Expected clarification was not produced
dense_vector_only,keyword-iphone-16,iPhone 16,keyword,expected_product_ids,3,1,0.4,1,0.8278,true,false,0,,,
dense_vector_only,keyword-samsung,Samsung,keyword,expected_product_ids,3,0.6667,0.4,0.5,0.5307,true,false,0,,,
dense_vector_only,keyword-ipad,iPad,keyword,expected_product_ids,3,1,0.4,1,0.8385,true,false,0,,,
