caseId,query,group,labelSource,relevantSetSize,topKRelevantHits,qrelsCoverageManualBinary,qrelsCoverageExpectedProductIds,qrelsCoverageExpectedClarification,qrelsCoverageCategoryCorpus,qrelsCoverageNonAmbiguousUnlabeled,baselineRecallAt10,improvedRecallAt10,baselineMRR,improvedMRR,baselineNdcgAt10,improvedNdcgAt10,baselineFailure,improvedFailure,clarificationNeeded,groupCoverage,rewriteStatus,rewriteLatencyMs,rewriteRetryCount,rewriteModel,baselineFailureNotes,improvedFailureNotes
keyword-iphone,iPhone,keyword,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10004,0,deepseek-v4-pro,,
keyword-macbook,MacBook,keyword,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
keyword-rtx-laptop,RTX laptop,keyword,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
keyword-dell-monitor,màn hình Dell,keyword,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
need-ai-laptop,laptop học AI,need_based,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,skipped_deterministic,1,0,deepseek-v4-pro,,
need-graphics,máy làm đồ họa,need_based,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
need-home-office,setup góc làm việc tại nhà,need_based,manual_binary_qrels,3,3,40,32,8,0,0,0,1,0,1,0,1,true,false,false,0.6,fallback_timeout,10001,0,deepseek-v4-pro,"No relevant product matched expected categories: monitor, man-hinh, keyboard, mouse, webcam",
need-eye-comfort,màn hình đỡ mỏi mắt,need_based,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
gift-gamer-boyfriend,mua quà cho bạn trai thích chơi game,gift,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,0.8385,1,false,false,false,0,fallback_timeout,10001,0,deepseek-v4-pro,,
gift-it-student,quà cho sinh viên IT,gift,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
gift-office-worker,quà cho dân văn phòng,gift,manual_binary_qrels,3,3,40,32,8,0,0,0,1,0,1,0,1,true,false,false,0.8333333333333334,fallback_timeout,10001,0,deepseek-v4-pro,"No relevant product matched expected categories: keyboard, mouse, monitor, man-hinh, phu-kien",
gift-new-streamer,quà cho người mới livestream,gift,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
technical-ai-laptop-specs,laptop RAM 16GB SSD 512GB GPU NVIDIA,technical,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0.5,fallback_timeout,10002,0,deepseek-v4-pro,,
technical-monitor-144hz,màn hình 144Hz,technical,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10001,0,deepseek-v4-pro,,
technical-wireless-keyboard,bàn phím cơ wireless,technical,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,fallback_timeout,10002,0,deepseek-v4-pro,,
technical-stock-budget-laptop,laptop dưới 25 triệu còn hàng,technical,expected_product_ids,3,3,40,32,8,0,0,1,1,1,1,1,1,false,false,false,0,skipped_deterministic,1,0,deepseek-v4-pro,,
combo-livestream,góc livestream,combo,manual_binary_qrels,3,3,40,32,8,0,0,1,1,1,1,0.8711,1,false,false,false,0.5714285714285714,fallback_timeout,10002,0,deepseek-v4-pro,,
